2025-06-28 20:32:08 | PID: 1033    | COMM: systemd         | SYSCALL: mkdir (cgroup)
2025-06-28 20:32:08 | PID: 7864    | COMM: bwrap           | SYSCALL: clone (new ns)
2025-06-28 20:32:08 | PID: 7873    | COMM: bwrap           | SYSCALL: clone (new ns)
2025-06-28 20:33:07 | PID: 7902    | COMM: my_runner       | SYSCALL: mkdir (cgroup)
2025-06-28 20:33:07 | PID: 7902    | COMM: my_runner       | SYSCALL: clone (new ns)
2025-06-28 20:33:07 | PID: 7902    | COMM: my_runner       | SYSCALL: mkdir (cgroup)
2025-06-28 20:33:33 | PID: 7921    | COMM: my_runner       | SYSCALL: mkdir (cgroup)
2025-06-28 20:33:33 | PID: 7921    | COMM: my_runner       | SYSCALL: clone (new ns)
2025-06-28 20:33:33 | PID: 7921    | COMM: my_runner       | SYSCALL: mkdir (cgroup)
2025-06-28 20:34:21 | PID: 1033    | COMM: systemd         | SYSCALL: mkdir (cgroup)
2025-06-28 20:34:21 | PID: 7972    | COMM: bwrap           | SYSCALL: clone (new ns)
